Kode Astra,Nama Barang,Kode Group,Kode Sub Group,Kode Satuan,Kode Rak,Harga Jual,Discount
,KARET DONGKRAK,NONHGP,,PCS,A.1.1,10000.00,0
02510000220,LIQUID GASKET,HGP,,PCS,,25500.00,15
02510000221,LIQUID GASKET,HGP,,PCS,,0.00,15
,peloran stater,NONHGP,,PCS,A.1.1,25000.00,0
03512HDL000,HONDA DISC LOCK,HGP,,PCS,,107000.00,15
03512K1ZGBL,SMART KEY REMOTE COVER BLK,HGP,,PCS,,59500.00,15
03512K1ZGCP,SMART KEY REMOTE COVER CPR,HGP,,PCS,,59000.00,15
03512K1ZGRE,SMART KEY REMOTE COVER RED,HGP,,PCS,,59000.00,15
03512SKRCBL,SMART KEY REMOTE CVR BLK 24,HGP,,PCS,,59000.00,15
03512SKRCCP,SMART KEY REMOTE CVR CPR 24,HGP,,PCS,,59000.00,15
03512SKRCRE,SMART KEY REMOTE CVR RED 24,HGP,,PCS,,59000.00,15
03512SKRCWH,SMART KEY REMOTE CVR WHT 24,HGP,,PCS,,59000.00,15
03962MUC000,HONDA M/C USB CHARGER,HGP,,PCS,,44000.00,15
04101MJHY00,"COVER COMP., A.C. GENERATOR",HGP,,PCS,,2371500.00,15
04101MJSJ20,"COVER COMP., A.C. GENERATOR",HGP,,PCS,,2758500.00,15
04801K0G900ZA,COVER COMP R BODYTE,HGP,,PCS,,892000.00,15
04801K0G900ZB,COVER COMP R BODYTE,HGP,,PCS,,892000.00,15
04801K0G900ZC,"COVER COMP,R BODY",HGP,,PCS,,0.00,15
04801K0G900ZD,COVER COMP R BODYTE,HGP,,PCS,,892000.00,15
04801K0G900ZE,"COVER COMP,R BODY",HGP,,PCS,,895000.00,15
04801MGSD31ZC,"TANK ASSY., FUEL",HGP,,PCS,,10677500.00,15
04911K1TJB0,"CRANK CASE COMP,L",HGP,,PCS,,0.00,15
05052RSP000,RUBBER STAND PAD,HGP,,PCS,,159000.00,15
06110K64305,"SET, OIL PAN COMP",HGP,,PCS,,0.00,15
06110K64306,"SET, OIL PAN COMP",HGP,,PCS,,0.00,15
06111K26920,GASKET KIT A,HGP,,PCS,,113000.00,15
06111K64J00,"GASKET KIT,A",HGP,,PCS,,360000.00,15
06111K64JC0,"GASKET KIT,A",HGP,,PCS,,386000.00,15
06111K95A20,GASKET KIT A,HGP,,PCS,,0.00,15
06111KYJ900,GASKET KIT A,HGP,,PCS,,538500.00,15
06111MFL000,GASKET KIT A,HGP,,PCS,,2845500.00,15
06111MGZA00,GASKET KIT A,HGP,,PCS,,583000.00,15
06111MJED00,GASKET KIT A,HGP,,PCS,,3729000.00,15
06111MJLD30,GASKET KIT A,HGP,,PCS,,1164500.00,15
06111MJPA60,GASKET KIT A,HGP,,PCS,,996000.00,15
06112K26921,GASKET KIT B,HGP,,PCS,,109000.00,15
06112K64J00,"GASKET KIT,B",HGP,,PCS,,152500.00,15
06112K64JC0,"GASKET KIT,B",HGP,,PCS,,254000.00,15
06112K95A60,GASKET KIT B,HGP,,PCS,,0.00,15
06112KYJ900,06112KYJ901,HGP,,PCS,,148500.00,15
06112KYJ901,"GASKET KIT,B",HGP,,PCS,,221500.00,15
06112MGPJ00,GASKET KIT B,HGP,,PCS,,802000.00,15
06112MGZK00,GASKET KIT B,HGP,,PCS,,1056000.00,15
06112MJED00,GASKET KIT B,HGP,,PCS,,450000.00,15
06112MJED01,GASKET KIT B,HGP,,PCS,,414500.00,15
06112MJLJ20,GASKET KIT B,HGP,,PCS,,1095500.00,15
06112MJPA60,GASKET KIT B,HGP,,PCS,,1457000.00,15
06112MJPA80,GASKET KIT B,HGP,,PCS,,2494500.00,15
06112MKHD00,GASKET KIT B,HGP,,PCS,,949500.00,15
06130MKRD30,SET CONNECTING RO,HGP,,PCS,,29600000.00,15
06132MGP305,"ROD SET, CONNECTING",HGP,,PCS,,7529500.00,15
06132MKF305,SET CONN-ROD ASSYLOCK,HGP,,PCS,,7512500.00,15
06140K56NJ0,"KIT,TENSIONER LIFTER",HGP,,PCS,,147500.00,15
06141GN5505,RANTAI MESIN,HGP,,PCS,,55500.00,15
06141KRS505,CAM CHAIN KIT,HGP,,PCS,,57000.00,15
06141KVB505,CAM CHAIN KIT,HGP,,PCS,,116500.00,15
06141KWB505,CAM CHAIN KIT,HGP,,PCS,,85000.00,15
06150MFJ306,"KIT, FUEL PUMP",HGP,,PCS,,0.00,15
06150MKC306,"KIT, FUEL PUMP",HGP,,PCS,,0.00,15
06150MKF306,"KIT, FUEL PUMP",HGP,,PCS,,0.00,15
06154KYJ901,MAINTENANCE KIT CBR 250,HGP,,PCS,,145500.00,15
06156MKR305,SET OIL COOLER PIPE HEAT GUARD,HGP,,PCS,,0.00,15
06156MKR306,"SET,HEAT GUARD",HGP,,PCS,,0.00,15
06160K18900,KIT FUEL FILTER,HGP,,PCS,,0.00,15
06160KPPT00,"KIT,FUEL FILTER",HGP,,PCS,,269000.00,15
06160KYJ900,"KIT,FUEL FILTER",HGP,,PCS,,310000.00,15
06160MKEA00,"FILTER KIT, FUEL",HGP,,PCS,,0.00,15
06160MKK305,KIT FUEL FILTER,HGP,,PCS,,0.00,15
06160MKZ305,"KIT,FUEL PUMP",HGP,,PCS,,0.00,15
06177MKH305,KIT RETAINER,HGP,,PCS,,0.00,15
061A1439003,GASKET KIT A,HGP,,PCS,,45000.00,15
061A1GN8002,GASKET KIT A,HGP,,PCS,,69000.00,15
061A1KEG002,GASKET KIT A,HGP,,PCS,,70500.00,15
061A1KEH002,GASKET KIT A,HGP,,PCS,,66000.00,15
061A1KEH003,GASKET KIT A,HGP,,PCS,,52000.00,15
061A1KEV002,GASKET KIT A,HGP,,PCS,,81500.00,15
061A1KEV003,GASKET KIT A,HGP,,PCS,,74500.00,15
061A1KFL002,GASKET KIT A,HGP,,PCS,,62000.00,15
061A1KFL003,GASKET KIT A,HGP,,PCS,,56000.00,15
061A1KG2002,GASKET KIT A,HGP,,PCS,,66000.00,15
061A1KG2003,GASKET KIT A,HGP,,PCS,,53000.00,15
061A1KPH001,GASKET KIT A,HGP,,PCS,,70000.00,15
061A1KPH002,GASKET KIT A,HGP,,PCS,,70000.00,15
061A1KPH003,GASKET KIT A,HGP,,PCS,,63000.00,15
061A1KVB003,GASKET KIT A,HGP,,PCS,,60000.00,15
061A1KVY003,GASKET KIT A,HGP,,PCS,,139000.00,15
061A1KWB003,GASKET KIT A,HGP,,PCS,,222500.00,15
061A1KWC004,GASKET KIT A,HGP,,PCS,,61000.00,15
061B1439000,"GASKET,KIT B",HGP,,PCS,,29500.00,15
061B1GN8002,GASKET KIT B,HGP,,PCS,,67000.00,15
061B1KB9002,GASKET KIT B,HGP,,PCS,,51000.00,15
061B1KEH002,GASKET KIT B,HGP,,PCS,,66000.00,15
061B1KEH003,GASKET KIT B,HGP,,PCS,,60000.00,15
061B1KEV002,GASKET KIT B,HGP,,PCS,,71500.00,15
061B1KEV003,GASKET KIT B,HGP,,PCS,,59500.00,15
061B1KFL002,GASKET KIT B,HGP,,PCS,,73500.00,15
061B1KFL003,GASKET KIT B,HGP,,PCS,,59000.00,15
061B1KPH002,GASKET KIT B,HGP,,PCS,,62000.00,15
061B1KPH003,GASKET KIT B,HGP,,PCS,,50000.00,15
061B1KVB003,GASKET KIT B,HGP,,PCS,,75500.00,15
061B1KVY003,GASKET KIT B,HGP,,PCS,,55000.00,15
061B1KWB003,GASKET KIT B,HGP,,PCS,,36500.00,15
061B1KWC003,GASKET KIT B,HGP,,PCS,,53000.00,15
061C1K1Z000,GASKET KIT,HGP,,PCS,,0.00,15
06221KEH305,PRMARY DRV GEAR KIT,HGP,,PCS,,373000.00,15
