Kode Jasa,Nama Jasa,Kode Group,Kode Sub Group,Estimasi Waktu,Tipe Waktu,Harga Jual
JS0032,GANTI KAMPAS KOPLING CUB,OTHER,,120,MENIT,100000.00
00225,SERVICE AREA 2,LS,,30,MENIT,20000.00
00444,BERSIHIN DINAMO STATER,LR,,20,MENIT,30000.00
02,SETING KLEP,LR,,45,MENIT,65000.00
022,PASANG JARI-JARI,LR,,30,MENIT,35000.00
032,BUBUT BAUT,LR,,30,MENIT,90000.00
03564,BERSIHIN SEPUL,LR,,20,MENIT,30000.00
04,PASANG BOS KLEP,LR,,30,MENIT,60000.00
052,LAS,LR,,20,JAM,30000.00
054,LAS,LR,,20,JAM,30000.00
0T1,CAS AKI,OTHER,,1,JAM,15000.00
0T2,tambal ban tubles,OTHER,,10,MENIT,20000.00
0T3,PENGISIAN BARU NITROGEN 1 BAN,OTHER,,2,MENIT,4000.00
0T4,PENGISIAN BARU NITROGEN 2 BAN,OTHER,,3,MENIT,8000.00
0T5,TAMBAH NITROGEN 2 BAN,OTHER,,1,MENIT,3000.00
0T6,TAMBAH NITROGEN 1,OTHER,,1,MENIT,2000.00
10,Turun Mesin Cub,HR,,2,HARI,400000.00
100,ENGINE TUNE UP CUB 100,CS,,45,MENIT,65000.00
1001,Servis Ringan Cub 125cc,LS,,30,MENIT,25000.00
1002,Servis Ringan Matic,LS,,30,MENIT,27000.00
1003,SERVIS RINGAN MATIC 125,LS,,30,MENIT,27000.00
1004,Servis Ringan Sport,LS,,40,MENIT,30000.00
1005,service extra,LS,,15,MENIT,10000.00
101,ENGINE TUNE UP CUB 100UP,CS,,45,MENIT,65000.00
102,ENGINE TUNE UP CUB 125 PGMFI,CS,,45,MENIT,65000.00
103,ENGINE TUNE UP CS1,CS,,1,JAM,75000.00
104,ENGINE TUNE UP MATIC,CS,,45,MENIT,65000.00
105,ENGINE TUNE UP MATIC PGMFI 150 up,CS,,45,MENIT,80000.00
106,ENGINE TUNE UP SPORT,CS,,1,JAM,100000.00
107,ENGINE TUNE UP GTR 150,CS,,1,JAM,80000.00
108,ENGINE TUNE UP PCX adv vario160,CS,,1,JAM,80000.00
109,kabel body,LR,,127,MENIT,150000.00
11,belah mesin kanan,HR,,1,HARI,100000.00
110,SERVICE REM CAKRAM,LR,,20,MENIT,15000.00
111,Service Rem,LR,,15,MENIT,20000.00
1111,paket 1 CS + injector,CS,,45,MENIT,75000.00
11111,PASANG BONGKAR BANDULAN,LR,,30,HARI,50000.00
1112,paket 2  CS + super matik,CS,,1,JAM,75000.00
1113,paket 3 CS + injector + super matic,CS,,70,MENIT,100000.00
1114,paket carbon cleaner,LS,,15,MENIT,35000.00
1115,paket 1 pcx/adv/vario160  cs +injector,CS,,1,JAM,100000.00
1116,paket 3 pcx/adv/vario160  cs + injector + cvt,CS,,75,MENIT,125000.00
1117,paket 2 pcx/adv/vario160  cs + cvt,CS,,1,JAM,100000.00
112,Pembersihan Kampas Rem,LR,,10,MENIT,20000.00
11235,SOK KPS GANDA GRAND,LR,,45,MENIT,90000.00
113,dinamo stater,LR,,1,JAM,50000.00
114,SEAL MECHANICAL,LR,,1,JAM,100000.00
115,Rantai Kamrat Cub  Ganti,LR,,1,JAM,100000.00
116,Rantai Kamrat Sport  Ganti,LR,,80,MENIT,130000.00
117,GANTI Piston ring Set Cub ATAU MATIC,LR,,1,JAM,125000.00
118,"Piston&ring Set Sport & matic , Ganti",LR,,1,JAM,125000.00
119,"Klep&Skur Klep Cub , Ganti",LR,,120,MENIT,80000.00
12,Turun Mesin Sport,HR,,2,HARI,550000.00
120,"Klep&Skur Klep Sport , Ganti",LR,,120,MENIT,95000.00
121,"R.Crank Case Cover , Ganti",LR,,40,MENIT,275000.00
122,"Clutch , Ganti",LR,,1,JAM,55000.00
123,"Starting Motor/Oil seal , Ganti",LR,,40,MENIT,55000.00
124,"Oil Pump , Ganti",LR,,1,JAM,20000.00
12432,PASANG BOS AREM+KARET AREM,LR,,45,MENIT,100000.00
125,"Karburator , Ganti",LR,,25,MENIT,20000.00
126,"Fuel Tank , Ganti",LR,,1,JAM,50000.00
127,Fuel Unit  Ganti,LR,,20,MENIT,45000.00
128,"Element Cleaner , Ganti",LR,,5,MENIT,5000.00
129,"Throttle Valve, Ganti",LR,,25,MENIT,20000.00
130,"Radiator Assy , Ganti",LR,,1,JAM,50000.00
131,"Plug Spark , Ganti",LR,,5,MENIT,10000.00
132,Jasa Bubut Baut,LR,,30,MENIT,325000.00
133,ROLLER COMP SET,LR,,20,MENIT,35000.00
134,rantai kamrat vario,LR,,30,MENIT,100000.00
135,PLATE COMP DRIVE,LR,,20,MENIT,40000.00
136,GEAR COMP KICK SPINDLE,LR,,45,MENIT,30000.00
137,"SPG,KICK RETURN",LR,,1,JAM,30000.00
138,"Switch Assy Winker , Ganti",LR,,20,MENIT,10000.00
139,"Speedometer/Meter Assy , Ganti",LR,,30,MENIT,30000.00
140,"Switch Lighting , Ganti",LR,,20,MENIT,15000.00
141,"Wire Harness , Ganti",LR,,120,MENIT,45000.00
142,Key Set Ganti,LR,,30,MENIT,70000.00
143,"AC Generator , Ganti",LR,,120,MENIT,35000.00
144,"Switch Fr stop , Ganti",LR,,15,MENIT,10000.00
145,"Switch Rr Stop , Ganti",LR,,15,MENIT,10000.00
146,"CDI Unit/Coil/Rectifier , Ganti",LR,,15,MENIT,50000.00
147,"Bulb Sign Light , Ganti",LR,,5,MENIT,3000.00
148,"Lampu Depan , Ganti",LR,,10,MENIT,12000.00
149,Headlight Assy Ganti,LR,,15,MENIT,50000.00
150,"Stop Light Assy , Ganti",LR,,25,MENIT,15000.00
151,"Fr Winker Assy , Ganti",LR,,20,MENIT,15000.00
152,"Spidometer Lens , Ganti",LR,,20,MENIT,15000.00
153,"Horn Comp , Ganti",LR,,5,MENIT,10000.00
154,"Lampu Depan Matic , Ganti",LR,,10,MENIT,12000.00
155,ganti Battery,LR,,10,MENIT,7000.00
156,Ganti Lampu belakang,LR,,10,MENIT,5000.00
157,Cable Speedometer  Ganti,LR,,15,MENIT,25000.00
158,Cable Gas Cub Ganti,LR,,15,MENIT,25000.00
159,"Cable Gas Sport , Ganti",LR,,15,MENIT,25000.00
160,Cable Rem belaknga Cub Ganti,LR,,15,MENIT,45000.00
161,Cable Rem depan Matic Ganti,LR,,1,JAM,35000.00
162,"Cable Tachometer , Ganti",LR,,15,MENIT,12000.00
163,"Cable Choke , Ganti",LR,,15,MENIT,10000.00
164,stel rim depan,LR,,30,MENIT,20000.00
165,stel rim belakang,LR,,30,MENIT,20000.00
166,Ganti tire RR,LR,,10,MENIT,20000.00
167,Ganti tire RR Matic,LR,,20,MENIT,20000.00
168,Ganti Tire FR,LR,,10,MENIT,20000.00
169,"Bos Gear , Ganti",LR,,30,MENIT,25000.00
