Kode Astra,Nama Barang,Harga Beli,Harga Jual
,KARET DONGKRAK,,10000.00
02510000220,LIQUID GASKET,21675.00,25500.00
02510000221,LIQUID GASKET,0.00,0.00
,peloran stater,15000.00,25000.00
03512HDL000,HONDA DISC LOCK,90950.00,107000.00
03512K1ZGBL,SMART KEY REMOTE COVER BLK,50575.00,59500.00
03512K1ZGCP,SMART KEY REMOTE COVER CPR,50150.00,59000.00
03512K1ZGRE,SMART KEY REMOTE COVER RED,50150.00,59000.00
03512SKRCBL,SMART KEY REMOTE CVR BLK 24,50150.00,59000.00
03512SKRCCP,SMART KEY REMOTE CVR CPR 24,50150.00,59000.00
03512SKRCRE,SMART KEY REMOTE CVR RED 24,50150.00,59000.00
03512SKRCWH,SMART KEY REMOTE CVR WHT 24,50150.00,59000.00
03962MUC000,HONDA M/C USB CHARGER,37400.00,44000.00
04101MJHY00,"COVER COMP., A.C. GENERATOR",2015775.00,2371500.00
04101MJSJ20,"COVER COMP., A.C. GENERATOR",2344725.00,2758500.00
04801K0G900ZA,COVER COMP R BODYTE,758200.00,892000.00
04801K0G900ZB,COVER COMP R BODYTE,758200.00,892000.00
04801K0G900ZC,"COVER COMP,R BODY",0.00,0.00
04801K0G900ZD,COVER COMP R BODYTE,758200.00,892000.00
04801K0G900ZE,"COVER COMP,R BODY",760750.00,895000.00
04801MGSD31ZC,"TANK ASSY., FUEL",9075875.00,10677500.00
04911K1TJB0,"CRANK CASE COMP,L",0.00,0.00
05052RSP000,RUBBER STAND PAD,135150.00,159000.00
06110K64305,"SET, OIL PAN COMP",0.00,0.00
06110K64306,"SET, OIL PAN COMP",0.00,0.00
06111K26920,GASKET KIT A,96050.00,113000.00
06111K64J00,"GASKET KIT,A",306000.00,360000.00
06111K64JC0,"GASKET KIT,A",328100.00,386000.00
06111K95A20,GASKET KIT A,0.00,0.00
06111KYJ900,GASKET KIT A,457725.00,538500.00
06111MFL000,GASKET KIT A,2418675.00,2845500.00
06111MGZA00,GASKET KIT A,495550.00,583000.00
06111MJED00,GASKET KIT A,3169650.00,3729000.00
06111MJLD30,GASKET KIT A,989825.00,1164500.00
