Kode Barang,Stock Opname,HOT,SO,PO
00022,0.00,0.00,0.00,0.00
02510000220,0.00,0.00,0.00,0.00
02510000221,0.00,0.00,0.00,0.00
034,0.00,0.00,0.00,0.00
03512HDL000,0.00,0.00,0.00,0.00
03512K1ZGBL,0.00,0.00,0.00,0.00
03512K1ZGCP,0.00,0.00,0.00,0.00
03512K1ZGRE,0.00,0.00,0.00,0.00
03512SKRCBL,0.00,0.00,0.00,0.00
03512SKRCCP,0.00,0.00,0.00,0.00
03512SKRCRE,0.00,0.00,0.00,0.00
03512SKRCWH,0.00,0.00,0.00,0.00
03962MUC000,0.00,0.00,0.00,0.00
04101MJHY00,0.00,0.00,0.00,0.00
04101MJSJ20,0.00,0.00,0.00,0.00
04801K0G900ZA,0.00,0.00,0.00,0.00
04801K0G900ZB,0.00,0.00,0.00,0.00
04801K0G900ZC,0.00,0.00,0.00,0.00
04801K0G900ZD,0.00,0.00,0.00,0.00
04801K0G900ZE,0.00,0.00,0.00,0.00
04801MGSD31ZC,0.00,0.00,0.00,0.00
04911K1TJB0,0.00,0.00,0.00,0.00
05052RSP000,0.00,0.00,0.00,0.00
06110K64305,0.00,0.00,0.00,0.00
06110K64306,0.00,0.00,0.00,0.00
06111K26920,0.00,0.00,0.00,0.00
06111K64J00,0.00,0.00,0.00,0.00
06111K64JC0,0.00,0.00,0.00,0.00
06111K95A20,0.00,0.00,0.00,0.00
06111KYJ900,0.00,0.00,0.00,0.00
06111MFL000,0.00,0.00,0.00,0.00
06111MGZA00,0.00,0.00,0.00,0.00
06111MJED00,0.00,0.00,0.00,0.00
06111MJLD30,0.00,0.00,0.00,0.00
06111MJPA60,0.00,0.00,0.00,0.00
06112K26921,0.00,0.00,0.00,0.00
06112K64J00,0.00,0.00,0.00,0.00
06112K64JC0,0.00,0.00,0.00,0.00
06112K95A60,0.00,0.00,0.00,0.00
06112KYJ900,0.00,0.00,0.00,0.00
06112KYJ901,0.00,0.00,0.00,0.00
06112MGPJ00,0.00,0.00,0.00,0.00
06112MGZK00,0.00,0.00,0.00,0.00
06112MJED00,0.00,0.00,0.00,0.00
06112MJED01,0.00,0.00,0.00,0.00
06112MJLJ20,0.00,0.00,0.00,0.00
06112MJPA60,0.00,0.00,0.00,0.00
06112MJPA80,0.00,0.00,0.00,0.00
06112MKHD00,0.00,0.00,0.00,0.00
06130MKRD30,0.00,0.00,0.00,0.00
06132MGP305,0.00,0.00,0.00,0.00
06132MKF305,0.00,0.00,0.00,0.00
06140K56NJ0,0.00,0.00,0.00,0.00
06141GN5505,0.00,0.00,0.00,0.00
06141KRS505,0.00,0.00,0.00,0.00
06141KVB505,0.00,0.00,0.00,0.00
06141KWB505,0.00,0.00,0.00,0.00
