Kode Barang,Stock Opname
0005ZKWWA00,0
04101MJSJ20,0
06110092671G,0
06110092912,0
06110398912,0
06111087040,0
06111087040G,0
06111383020,0
06111397000,0
06111397000G,0
06111K64J00,0
06111KYJ900,0
06111MFL000,0
06111MGZA00,0
06111MJED00,0
06111MJLD30,0
06111MJPA60,0
06112K64J00,0
06112KYJ901,0
06112MGPJ00,0
06112MGZK00,0
06112MJED00,0
06112MJED01,0
06112MJLJ20,0
06112MJPA60,0
06112MJPA80,0
06132MGP305,0
06132MKF305,0
06141GN5505,0
06141KRS505,0
06141KVB505,0
06141KWB505,0
06160KPPT00,0
06160KYJ900,0
061A1439000,0
061A1439000G,0
061A1439001,0
061A1439003,0
061A1439912,0
061A1439922,0
061A1439922G,0
061A1440000G,0
061A1440912,0
061A1GB0910G,0
061A1GB0912,0
061A1GB1910G,0
061A1GB1912,0
061A1GB6910G,0
061A1GB6912,0
061A1GF6914,0
061A1GF6914G,0
061A1GN8000,0
061A1GN8002,0
061A1GN8910G,0
061A1GN8912,0
061A1KC6922,0
061A1KC6922G,0
061A1KCJ000G,0
061A1KCJ912,0
061A1KEG000,0
061A1KEG000G,0
061A1KEG002,0
061A1KEG912,0
061A1KEH000,0
061A1KEH001,0
061A1KEH002,0
061A1KEH003,0
061A1KEH912,0
061A1KEV000,0
061A1KEV001,0
061A1KEV002,0
061A1KEV003,0
061A1KFL000,0
061A1KFL001,0
061A1KFL002,0
061A1KFL003,0
061A1KG2000,0
061A1KG2000G,0
061A1KG2001,0
061A1KG2002,0
061A1KG2003,0
061A1KG2912,0
061A1KG2922,0
061A1KG2922G,0
061A1KPH000,0
061A1KPH001,0
061A1KPH002,0
061A1KPH003,0
061A1KVB003,0
061A1KVY003,0
061A1KWB003,0
061A1KWC004,0
061B1439000G,0
061B1439922,0
061B1439922G,0
061B1GB0910,0
061B1GB0910G,0
061B1GB1910,0
061B1GB1910G,0
061B1GB6910,0
061B1GB6910G,0
061B1GN8000,0
061B1GN8001,0
061B1GN8002,0
061B1GN8910,0
061B1GN8910G,0
061B1GN8920,0
061B1GN8920G,0
061B1KB9000,0
061B1KB9001,0
061B1KB9002,0
061B1KB9010,0
061B1KB9010G,0
061B1KCJ000,0
061B1KCJ000G,0
061B1KEH000,0
061B1KEH001,0
061B1KEH002,0
061B1KEH003,0
061B1KEV000,0
061B1KEV001,0
061B1KEV002,0
061B1KEV003,0
061B1KFL000,0
061B1KFL001,0
061B1KFL002,0
061B1KFL003,0
061B1KPH000,0
061B1KPH001,0
061B1KPH002,0
061B1KPH003,0
061B1KVB003,0
061B1KVY003,0
061B1KWB003,0
061B1KWC003,0
06221KEH305,0
06351MKCA01,0
06381GF6300,0
06381GF6P00,0
06381KCN300,0
06381KEV880,0
06381KFM901,0
06381KFMP00,0
06381KPH900,0
06381KVB930,0
06381KVY960,0
06381KWB920,0
06381KWC900,0
06381KWW920,0
06381KWWA80,0
06381KZLA00,0
06381KZR600,0
06401K15900,0
06401K18900,0
06401K41N01,0
06401K45N01,0
06401K45N41,0
06401K56N00,0
06401K56N11,0
06401KCJ691,0
06401KEH900,0
06401KEV881,0
06401KPH881,0
06401KTL700,0
06401KWB900,0
06401KWC900,0
06401KWW900,0
06401KYE900,0
06401KYZ900,0
06406MFL601,0
06406MGZD00,0
06406MGZD01,0
06406MJED00,0
06406MJSD70,0
06410GCR000,0
06410KEA750,0
