Kode Tipe,Tipe Kendaraan,CC Mesin,Engine Code,Model,Kode Barang,Harga Jual Oli KPB 1,Harga Jasa KPB 1,Harga Jasa KPB 2,Harga Jasa KPB 3,Harga Jasa KPB 4
ACB2J21B02 A/T,VARIO TECHNO 125 CBS,125,jf555,MATIC,082322MAK0LN1,23000,18000,18000,18000,18000
ACB2J22B03 A/T,VARIO TECHNO 125 CBS  ISS,125,,MATIC,,0,0,0,0,0
ACF1L21B06 A/T,SCOOPY STYLISH,110,,MATIC,,0,0,0,0,0
ACF1L21B06S A/T,SCOOPY SPORTY,110,,MATIC,,0,0,0,0,0
ACH1M21B04 A/T,BEAT PGMFI  SPOKE,110,,MATIC,,0,0,0,0,0
ACH1M21B04A A/T,BEAT FI CW MMC,110,,MATIC,,0,0,0,0,0
ACH1M21B04S A/T,BEAT FI CW SPORTY,110,,MATIC,,0,0,0,0,0
ACH1M21B05 A/T,BEAT PGMFI  CBS,110,,MATIC,,0,0,0,0,0
ACH1M21B05A A/T,BEAT FI CBS MMC,110,,MATIC,,0,0,0,0,0
ACH1M21B05S A/T,BEAT FI CBS SPORTY,110,,MATIC,,0,0,0,0,0
AFP12W21C02 M/T,BLADE S 125 FI,125,,CUB,,0,0,0,0,0
AFP12W21C03 M/T,Blade S 125 FI,125,,CUB,,0,0,0,0,0
AFP12W21C08 M/T,BLADE R 125 FI,125,,CUB,,0,0,0,0,0
AFP12W21C08A M/T,NEW BLADE FI REPSOL,125,,CUB,,0,0,0,0,0
AFP12W22C08 M/T,New Blade 125 FI R Standard,125,,CUB,,0,0,0,0,0
AFP12W22C08A M/T,New Blade 125 Rep,125,,CUB,,0,0,0,0,0
AFX12U21C07 M/T,NEW SUPRA X 125 SPK FI,125,11,CUB,082322MAK0LN9,30000,18000,18000,18000,18000
AFX12U21C08 M/T,NEW SUPRA X 125 CW FI,125,,CUB,,0,0,0,0,0
AFX12U22C07 M/T,NEW SUPRA X 125 SW FI MMC,125,,CUB,,0,0,0,0,0
AFX12U22C08 M/T,NEW SUPRA X 125 CW FI MMC SPORTY AGGRESSIVE,125,,CUB,,0,0,0,0,0
AFX12U22C08A M/T,NEW SUPRA X 125 CW FI MMC SPORTY LUXURY,125,,CUB,,0,0,0,0,0
AFX12U23C07 M/T,Supra X 125 SW MMC,125,,CUB,,0,0,0,0,0
AFX12U23C08 M/T,Supra X 125 CW MMC,125,,CUB,,0,0,0,0,0
AFX12U23C08A M/T,SUPRA X 125 CW MMC,125,,CUB,,0,0,0,0,0
ATI1I21B01 A/T,NEW VARIO CW FI,110,,MATIC,,0,0,0,0,0
BLADE 125 FI,Blade R 125 FI,0,JBM1E,MATIC,,23500,18000,18000,18000,18000
BLADE+REVO,NF11T11C03 M/T (Revo CW FI),0,JBK3E,MATIC,,25000,18000,18000,18000,18000
C1C02N16M2 A/T,NEW SCOOPY FI ESP STYLISH,110,,MATIC,,0,0,0,0,0
C1C02N16M2S A/T,NEW SCOOPY FI ESP SPORTY,110,,MATIC,,0,0,0,0,0
CB150,CB15A1RRF M/T,0,KC41E,MATIC,,25500,20000,20000,20000,20000
CB150R,CB150R,150,,SPORT,,0,0,0,0,0
CB15A1RRF1 M/T,CB150R,150,,SPORT,,0,0,0,0,0
CB15A1RRF2 M/T,CB150R MMC,150,,SPORT,,0,0,0,0,0
CBR150,,0,KC71E,MATIC,,35125,12100,26900,32400,41400
CBR150R,CBR 150,150,,SPORT,,0,0,0,0,0
CBR250,CBR ABS / STD,0,MC41E,MATIC,,59000,44000,13400,36400,33000
CBR250RAF 2IN M/T,NEW CBR250R ABS,250,,SPORT,,0,0,0,0,0
CBR250RAF 4IN M/T,NEW CBR250R ABS,250,,SPORT,,0,0,0,0,0
CBR250RAF 5IN M/T,NEW CBR250R ABS,250,,SPORT,,0,0,0,0,0
